数据库：分省季度数据
指标：地区生产总值_累计值(亿元)
时间：最近6季度
地区,2022年第三季度,2022年第二季度,2022年第一季度,2021年第四季度,2021年第三季度,2021年第二季度
北京市,29926.00,19352.21,9413.40,40269.55,29638.67,19147.00
天津市,11896.00,7620.58,3538.52,15695.05,11373.68,7278.45
河北省,30591.00,19823.72,9559.76,40391.27,28949.08,18660.36
山西省,18026.00,11568.94,5513.12,22590.16,15584.85,9606.70
内蒙古自治区,16209.00,10465.15,5078.40,20514.19,14435.84,9065.27
辽宁省,20797.00,13172.91,6214.68,27584.08,19646.87,12587.95
吉林省,9433.00,5697.15,2576.23,13235.52,9499.97,6057.82
黑龙江省,10467.00,6395.24,2976.61,14879.19,9710.18,5965.25
上海市,30957.00,19349.31,10010.25,43214.85,30748.13,20017.81
江苏省,88653.00,56909.14,27859.04,116364.20,84569.50,54967.00
浙江省,55750.00,36222.25,17886.39,73515.76,52649.55,34410.81
安徽省,33703.00,21763.96,10347.70,42959.18,31752.36,20489.81
福建省,37794.00,24605.36,11859.21,48810.36,35061.37,22817.29
江西省,23214.00,15133.06,7320.52,29619.67,21517.96,13918.32
山东省,64409.00,41717.35,19926.79,83095.90,60206.96,38742.39
河南省,47023.00,30757.20,14228.79,58887.41,43847.12,28806.05
湖北省,37299.00,24502.79,10804.66,50012.94,34598.11,22681.70
湖南省,35333.00,22933.36,11058.16,46063.09,33094.92,21575.19
广东省,91723.00,59518.40,28498.79,124369.67,88171.70,57245.14
广西壮族自治区,18866.00,12294.16,5914.78,24740.86,17971.04,11757.53
海南省,4779.00,3144.63,1593.94,6475.20,4542.28,2906.92
重庆市,20835.00,13511.64,6398.00,27894.02,19875.23,12849.03
四川省,40433.00,26176.47,12739.24,53850.79,38848.84,25126.05
贵州省,14756.00,9830.44,4815.49,19586.42,13931.79,9037.23
云南省,20818.00,13464.12,6465.69,27146.76,19532.42,12686.99
西藏自治区,1461.00,973.24,516.79,2080.17,1434.82,922.15
陕西省,23502.00,15252.34,7265.41,29800.98,21111.75,13485.53
甘肃省,8124.00,5235.27,2479.12,10243.31,7372.54,4728.22
青海省,2564.00,1688.51,833.33,3346.63,2392.61,1550.85
宁夏回族自治区,3599.00,2352.56,1114.13,4522.31,3210.91,2047.66
新疆维吾尔自治区,13024.00,8279.04,3975.30,15983.65,11352.35,7298.02
注：2018-2019年季度数据为根据第四次全国经济普查资料修订后数据。
数据来源：国家统计局
