数据库：主要城市月度价格
指标：城市居民消费价格指数(上年同月=100)(%)
时间：最近13个月
地区,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月
北京,101.3,102.1,101.9,102.1,102.5,102.2,102.0,101.8,101.2,101.3,101.8,102.4,102.0
天津,101.5,102.5,102.2,102.0,102.2,101.9,101.9,101.8,101.5,102.0,102.2,103.0,102.4
石家庄,101.3,102.4,101.9,101.8,101.7,101.3,101.0,100.3,99.5,99.4,100.3,101.4,101.2
太原,101.6,102.6,102.6,103.1,103.0,102.3,102.8,101.4,101.3,100.7,101.5,102.3,102.2
呼和浩特,102.6,102.9,102.4,102.6,102.5,101.7,101.9,101.8,101.3,101.2,101.6,102.9,101.6
沈阳,101.7,102.9,102.6,102.4,102.1,101.7,102.3,101.8,100.2,100.7,100.9,102.5,101.4
大连,101.9,103.5,103.0,102.8,102.8,102.4,102.1,101.9,101.2,101.3,102.0,103.4,102.5
长春,101.7,102.2,101.8,102.4,102.6,102.4,102.9,102.0,100.7,101.1,100.9,102.0,100.8
哈尔滨,101.4,102.1,102.6,102.9,103.1,102.7,102.4,101.7,101.0,101.0,101.9,103.0,101.9
上海,101.8,102.6,102.4,102.9,102.9,104.6,104.3,102.2,101.5,101.6,101.8,102.5,102.2
南京,102.6,103.0,102.6,102.7,102.6,102.1,102.5,102.1,101.4,101.2,101.9,102.5,102.2
杭州,101.4,102.4,103.0,103.3,103.3,103.2,103.8,102.5,102.1,102.3,102.6,103.4,102.6
宁波,102.2,103.0,103.0,103.1,102.9,102.4,102.7,101.7,101.2,101.4,101.9,102.9,102.4
合肥,102.0,102.7,102.5,102.9,102.8,102.7,103.2,102.5,102.3,102.3,102.9,103.6,102.8
福州,101.9,102.4,102.5,103.6,103.4,102.8,102.8,102.1,102.1,101.8,101.9,103.3,101.8
厦门,102.0,102.5,102.3,102.6,102.5,101.6,101.6,101.4,100.8,100.4,101.1,102.5,101.9
南昌,101.9,102.3,102.2,102.3,102.2,101.7,102.2,101.6,101.0,100.9,101.5,102.3,101.5
济南,101.6,102.1,101.8,102.0,101.8,101.3,101.4,100.9,100.3,100.8,101.6,102.9,102.3
青岛,102.1,102.7,102.6,102.6,102.5,101.6,101.9,101.8,101.2,101.5,101.8,102.8,102.1
郑州,101.8,101.8,101.3,101.8,101.5,101.1,101.1,100.9,100.2,100.6,101.5,102.5,101.7
武汉,102.9,103.5,102.9,102.8,102.7,102.3,102.0,101.8,101.2,101.3,102.1,102.8,102.1
长沙,101.8,102.2,102.0,102.5,102.3,101.6,101.5,101.3,101.0,100.9,101.6,102.5,101.5
广州,102.2,102.6,102.7,103.2,103.6,102.5,102.8,102.0,101.3,101.5,102.0,102.3,101.8
深圳,101.9,102.5,102.3,102.8,102.9,102.2,102.4,102.2,101.7,102.5,102.0,102.5,102.0
南宁,101.7,102.0,102.0,102.3,102.5,101.7,101.5,101.2,101.8,101.4,101.9,102.6,101.9
海口,100.3,101.6,101.8,102.0,101.7,100.8,100.7,100.9,100.6,100.7,101.1,101.9,101.9
重庆,102.7,103.5,102.8,102.7,102.0,101.7,101.7,101.4,101.2,100.6,101.0,101.6,100.2
成都,103.1,104.2,103.1,103.3,103.3,102.3,102.2,101.6,101.4,101.3,101.7,102.7,100.7
贵阳,102.5,104.6,102.4,102.3,102.4,101.6,101.4,101.0,101.2,100.9,101.4,102.2,100.8
昆明,102.8,102.8,102.4,102.2,102.3,101.5,101.4,100.8,100.3,100.0,100.3,100.7,100.1
拉萨,103.2,103.2,102.9,102.3,101.6,101.7,101.2,100.2,99.4,100.2,99.7,100.1,99.9
西安,101.6,102.4,102.9,103.0,102.7,102.3,102.9,102.4,101.7,102.7,102.6,102.8,102.4
兰州,102.0,103.2,103.4,103.7,102.6,101.9,101.8,101.9,101.5,101.1,101.6,102.7,102.3
西宁,102.9,103.0,102.5,102.5,102.6,102.5,102.7,102.4,102.1,101.7,101.9,102.7,101.8
银川,102.2,102.5,102.2,102.1,102.0,101.5,102.1,102.4,102.5,101.8,102.6,103.4,102.4
乌鲁木齐,104.0,103.0,102.2,101.4,101.2,100.6,100.3,99.9,100.2,100.8,100.8,101.8,101.6
注：1.按照统计制度规定，我国CPI每五年进行一次基期轮换。每次基期轮换后，调查分类目录、代表规格品和调查网点均有调整，分类权数也有变化，以反映居民消费结构的最新变动。
　　　2.2016年1月-2020年12月编制和发布的是以2015年为基期的CPI。与前几轮基期相比，此轮基期8大类有显著变化，其中“食品”、“烟酒”合并为“食品烟酒”，“医疗保健和个人用品”拆分至“生活用品及服务”、“医疗保健”和“其他用品和服务”中，“娱乐教育文化用品及服务”拆分至“教育文化和娱乐”、“其他用品和服务”中，“家庭设备用品及维修服务”拆分至“生活用品及服务”和“其他用品及服务”中。此外，“食品”的指标内涵发生了变化，前几轮基期中的“食品”为大类，包括粮食、肉禽、鲜菜、鲜果、水产品、茶及饮料、在外餐饮等分类；此轮基期的“食品”为“食品烟酒”大类下的中类，仅包括粮食、畜肉、禽肉、鲜菜、鲜果、水产品等，不再包括“茶及饮料”和“在外餐饮”两项。
　　　3.2021年1月开始编制和发布以2020年为基期的CPI。本轮基期仍分为食品烟酒、衣着、居住、生活用品及服务、交通通信、教育文化娱乐、医疗保健、其他用品及服务8个大类，基本分类增加至268个。
数据来源：国家统计局
